,Unnamed: 0,geo_value,date,direction,issue,lag,full_time_work_prop,stderr,sample_size,fips,aggregate_level,state
90,34,nj,2019-01-02,,2020-06-23,538,0.08420673585427901,0.00063023415015068,6286,34,state,NJ
91,35,nm,2019-01-02,,2020-06-23,538,0.029810421291617,0.0005574793296641,1446,35,state,NM
92,36,nv,2019-01-02,,2020-06-23,538,0.031082857971711002,0.00048649978958004,1822,32,state,NV
93,37,ny,2019-01-02,,2020-06-23,538,0.068928042573573,0.00036981455703212,15196,36,state,NY
94,38,oh,2019-01-02,,2020-06-23,538,0.051606426959752996,0.00036008263572319,9223,39,state,OH
95,39,ok,2019-01-02,,2020-06-23,538,0.05141405957155099,0.00054543353931966,2960,40,state,OK
96,40,or,2019-01-02,,2020-06-23,538,0.04564954739638,0.0006514212721570901,2627,41,state,OR
97,41,pa,2019-01-02,,2020-06-23,538,0.071273299360757,0.00048848390312664,9721,42,state,PA
98,42,pr,2019-01-02,,2020-06-23,538,0.042253267515578,0.0005776637973380001,2523,72,state,PR
99,43,ri,2019-01-02,,2020-06-23,538,0.07255147137762899,0.0016640636510145,807,44,state,RI
100,44,sc,2019-01-02,,2020-06-23,538,0.046612686031081,0.0005304138075145701,3043,45,state,SC
101,45,sd,2019-01-02,,2020-06-23,538,0.061879240791326,0.0016277913226057,654,46,state,SD
102,46,tn,2019-01-02,,2020-06-23,538,0.051612796580552005,0.00048180615972732,4113,47,state,TN
103,47,tx,2019-01-02,,2020-06-23,538,0.04885860078831599,0.0002326359201565,15767,48,state,TX
104,48,ut,2019-01-02,,2020-06-23,538,0.06171403736955901,0.0008922072098305301,1687,49,state,UT
105,49,va,2019-01-02,,2020-06-23,538,0.056871706285392995,0.0005068984580595799,5298,51,state,VA
106,50,vi,2019-01-02,,2020-06-23,538,0.041835598301027004,0.0037912113253786,86,78,state,VI
107,51,vt,2019-01-02,,2020-06-23,538,0.069103010223041,0.0020441600994667,521,50,state,VT
108,52,wa,2019-01-02,,2020-06-23,538,0.044858396630696004,0.00047487449091671,4764,53,state,WA
109,53,wi,2019-01-02,,2020-06-23,538,0.08063399893666201,0.000778831160617,4472,55,state,WI
110,54,wv,2019-01-02,,2020-06-23,538,0.053415871441875,0.0008923716597992301,1591,54,state,WV
111,55,wy,2019-01-02,,2020-06-23,538,0.050320088107054003,0.0017024837477976,409,56,state,WY
112,0,ak,2019-01-03,1.0,2020-06-23,537,0.04765375096365901,0.0016836056355997,525,02,state,AK
113,1,al,2019-01-03,1.0,2020-06-23,537,0.072015973917746,0.0005852387006958401,3433,01,state,AL
114,2,ar,2019-01-03,1.0,2020-06-23,537,0.05762703640963901,0.0007997724654491901,2144,05,state,AR
115,3,as,2019-01-03,0.0,2020-06-23,537,0.09032413866802802,0.0078642220715998,32,60,state,AS
116,4,az,2019-01-03,1.0,2020-06-23,537,0.04810092704486099,0.00051713299627012,4165,04,state,AZ
117,5,ca,2019-01-03,1.0,2020-06-23,537,0.045803760301775,0.00023005939839234,23119,06,state,CA
118,6,co,2019-01-03,1.0,2020-06-23,537,0.053799750730967,0.0006295406210054799,3521,08,state,CO
119,7,ct,2019-01-03,1.0,2020-06-23,537,0.08886385823676299,0.0011223603355797,2578,09,state,CT
120,8,dc,2019-01-03,1.0,2020-06-23,537,0.065404871475487,0.0016106030583919,449,11,state,DC
121,9,de,2019-01-03,1.0,2020-06-23,537,0.077099234450645,0.0019884957304534,563,10,state,DE
122,10,fl,2019-01-03,1.0,2020-06-23,537,0.049210474297406,0.00027695870184198,11371,12,state,FL
123,11,ga,2019-01-03,1.0,2020-06-23,537,0.051317610968715996,0.00039462267017273997,5522,13,state,GA
124,12,gu,2019-01-03,0.0,2020-06-23,537,0.083674251759574,0.0036411986060509,166,66,state,GU
125,13,hi,2019-01-03,1.0,2020-06-23,537,0.024659805331182005,0.00070556997091017,834,15,state,HI
126,14,ia,2019-01-03,1.0,2020-06-23,537,0.092034260956753,0.001088906546769,2628,19,state,IA
127,15,id,2019-01-03,1.0,2020-06-23,537,0.04628502985266299,0.0009315466573443699,959,16,state,ID
128,16,il,2019-01-03,1.0,2020-06-23,537,0.062125963279035995,0.00038930837291347,9678,17,state,IL
129,17,in,2019-01-03,1.0,2020-06-23,537,0.053482029806873,0.0005303570887158401,4807,18,state,IN
130,18,ks,2019-01-03,1.0,2020-06-23,537,0.067121411288333,0.00085743692570488,2346,20,state,KS
131,19,ky,2019-01-03,1.0,2020-06-23,537,0.064976009958594,0.00072983971917108,3277,21,state,KY
132,20,la,2019-01-03,1.0,2020-06-23,537,0.052591094400142,0.00053303309194645,3451,22,state,LA
133,21,ma,2019-01-03,1.0,2020-06-23,537,0.07650913803327701,0.00070993754371624,4960,25,state,MA
134,22,md,2019-01-03,1.0,2020-06-23,537,0.075549224505176,0.00068741967993223,3902,24,state,MD
135,23,me,2019-01-03,1.0,2020-06-23,537,0.062783190383075,0.0012400157810833,1072,23,state,ME
136,24,mi,2019-01-03,1.0,2020-06-23,537,0.050387261407504005,0.00038141176841661003,8130,26,state,MI
137,25,mn,2019-01-03,1.0,2020-06-23,537,0.08465351602837201,0.00079463611015016,4104,27,state,MN
138,26,mo,2019-01-03,1.0,2020-06-23,537,0.07085487929789501,0.00067194394166855,4502,29,state,MO
139,27,mp,2019-01-03,0.0,2020-06-23,537,0.085126339951136,0.0070315565977026,45,69,state,MP
140,28,ms,2019-01-03,1.0,2020-06-23,537,0.049312094682017,0.00064264044374675,2156,28,state,MS
141,29,mt,2019-01-03,1.0,2020-06-23,537,0.060279718741013,0.0013612757425835,837,30,state,MT
142,30,nc,2019-01-03,1.0,2020-06-23,537,0.06047245581702599,0.00045273918552067,6113,37,state,NC
