index,model_abbr,region_id,forecast_date,target_date,target_type,value
1984,COVIDhub-ensemble,1111,2020-09-07,2020-09-14,cases,25.0
1992,COVIDhub-ensemble,1111,2020-09-07,2020-09-21,cases,24.0
2000,COVIDhub-ensemble,1111,2020-09-07,2020-09-28,cases,25.0
2008,COVIDhub-ensemble,1111,2020-09-07,2020-10-05,cases,25.0
2016,COVIDhub-ensemble,1113,2020-09-07,2020-09-14,cases,29.0
2024,COVIDhub-ensemble,1113,2020-09-07,2020-09-21,cases,26.0
2032,COVIDhub-ensemble,1113,2020-09-07,2020-09-28,cases,27.0
2040,COVIDhub-ensemble,1113,2020-09-07,2020-10-05,cases,23.0
2048,COVIDhub-ensemble,1115,2020-09-07,2020-09-14,cases,76.0
2056,COVIDhub-ensemble,1115,2020-09-07,2020-09-21,cases,76.0
2064,COVIDhub-ensemble,1115,2020-09-07,2020-09-28,cases,65.0
2072,COVIDhub-ensemble,1115,2020-09-07,2020-10-05,cases,66.0
2080,COVIDhub-ensemble,1117,2020-09-07,2020-09-14,cases,276.0
2088,COVIDhub-ensemble,1117,2020-09-07,2020-09-21,cases,243.0
2096,COVIDhub-ensemble,1117,2020-09-07,2020-09-28,cases,241.0
2104,COVIDhub-ensemble,1117,2020-09-07,2020-10-05,cases,237.0
2112,COVIDhub-ensemble,1119,2020-09-07,2020-09-14,cases,7.0
2120,COVIDhub-ensemble,1119,2020-09-07,2020-09-21,cases,7.0
2128,COVIDhub-ensemble,1119,2020-09-07,2020-09-28,cases,7.0
2136,COVIDhub-ensemble,1119,2020-09-07,2020-10-05,cases,7.0
2144,COVIDhub-ensemble,1121,2020-09-07,2020-09-14,cases,39.0
2152,COVIDhub-ensemble,1121,2020-09-07,2020-09-21,cases,43.0
2160,COVIDhub-ensemble,1121,2020-09-07,2020-09-28,cases,40.0
2168,COVIDhub-ensemble,1121,2020-09-07,2020-10-05,cases,40.0
2176,COVIDhub-ensemble,1123,2020-09-07,2020-09-14,cases,19.0
2184,COVIDhub-ensemble,1123,2020-09-07,2020-09-21,cases,19.0
2192,COVIDhub-ensemble,1123,2020-09-07,2020-09-28,cases,18.0
2200,COVIDhub-ensemble,1123,2020-09-07,2020-10-05,cases,16.0
2208,COVIDhub-ensemble,1125,2020-09-07,2020-09-14,cases,190.0
2216,COVIDhub-ensemble,1125,2020-09-07,2020-09-21,cases,166.0
2224,COVIDhub-ensemble,1125,2020-09-07,2020-09-28,cases,145.0
2232,COVIDhub-ensemble,1125,2020-09-07,2020-10-05,cases,134.0
2240,COVIDhub-ensemble,1127,2020-09-07,2020-09-14,cases,100.0
2248,COVIDhub-ensemble,1127,2020-09-07,2020-09-21,cases,91.0
2256,COVIDhub-ensemble,1127,2020-09-07,2020-09-28,cases,86.0
2264,COVIDhub-ensemble,1127,2020-09-07,2020-10-05,cases,86.0
2272,COVIDhub-ensemble,1129,2020-09-07,2020-09-14,cases,7.0
2280,COVIDhub-ensemble,1129,2020-09-07,2020-09-21,cases,8.0
2288,COVIDhub-ensemble,1129,2020-09-07,2020-09-28,cases,8.0
2296,COVIDhub-ensemble,1129,2020-09-07,2020-10-05,cases,7.0
2304,COVIDhub-ensemble,1131,2020-09-07,2020-09-14,cases,3.0
2312,COVIDhub-ensemble,1131,2020-09-07,2020-09-21,cases,3.0
2320,COVIDhub-ensemble,1131,2020-09-07,2020-09-28,cases,4.0
2328,COVIDhub-ensemble,1131,2020-09-07,2020-10-05,cases,3.0
2336,COVIDhub-ensemble,1133,2020-09-07,2020-09-14,cases,25.0
2344,COVIDhub-ensemble,1133,2020-09-07,2020-09-21,cases,25.0
2352,COVIDhub-ensemble,1133,2020-09-07,2020-09-28,cases,24.0
2360,COVIDhub-ensemble,1133,2020-09-07,2020-10-05,cases,25.0
2392,COVIDhub-ensemble,2,2020-09-07,2020-09-14,cases,494.0
2400,COVIDhub-ensemble,2,2020-09-07,2020-09-14,deaths,4.0
2448,COVIDhub-ensemble,2,2020-09-07,2020-09-21,cases,503.0
2456,COVIDhub-ensemble,2,2020-09-07,2020-09-21,deaths,4.0
2504,COVIDhub-ensemble,2,2020-09-07,2020-09-28,cases,468.0
2512,COVIDhub-ensemble,2,2020-09-07,2020-09-28,deaths,4.0
2560,COVIDhub-ensemble,2,2020-09-07,2020-10-05,cases,439.0
2568,COVIDhub-ensemble,2,2020-09-07,2020-10-05,deaths,5.0
2592,COVIDhub-ensemble,2013,2020-09-07,2020-09-14,cases,0.0
2600,COVIDhub-ensemble,2013,2020-09-07,2020-09-21,cases,0.0
2608,COVIDhub-ensemble,2013,2020-09-07,2020-09-28,cases,0.0
2616,COVIDhub-ensemble,2013,2020-09-07,2020-10-05,cases,0.0
2624,COVIDhub-ensemble,2016,2020-09-07,2020-09-14,cases,0.0
2632,COVIDhub-ensemble,2016,2020-09-07,2020-09-21,cases,0.0
2640,COVIDhub-ensemble,2016,2020-09-07,2020-09-28,cases,0.0
2648,COVIDhub-ensemble,2016,2020-09-07,2020-10-05,cases,0.0
2656,COVIDhub-ensemble,2020,2020-09-07,2020-09-14,cases,282.0
2664,COVIDhub-ensemble,2020,2020-09-07,2020-09-21,cases,278.0
2672,COVIDhub-ensemble,2020,2020-09-07,2020-09-28,cases,282.0
2680,COVIDhub-ensemble,2020,2020-09-07,2020-10-05,cases,275.0
2688,COVIDhub-ensemble,2050,2020-09-07,2020-09-14,cases,2.0
2696,COVIDhub-ensemble,2050,2020-09-07,2020-09-21,cases,2.0
2704,COVIDhub-ensemble,2050,2020-09-07,2020-09-28,cases,2.0
2712,COVIDhub-ensemble,2050,2020-09-07,2020-10-05,cases,2.0
2720,COVIDhub-ensemble,2060,2020-09-07,2020-09-14,cases,0.0
2728,COVIDhub-ensemble,2060,2020-09-07,2020-09-21,cases,0.0
2736,COVIDhub-ensemble,2060,2020-09-07,2020-09-28,cases,0.0
2744,COVIDhub-ensemble,2060,2020-09-07,2020-10-05,cases,0.0
2752,COVIDhub-ensemble,2068,2020-09-07,2020-09-14,cases,0.0
2760,COVIDhub-ensemble,2068,2020-09-07,2020-09-21,cases,0.0
2768,COVIDhub-ensemble,2068,2020-09-07,2020-09-28,cases,0.0
2776,COVIDhub-ensemble,2068,2020-09-07,2020-10-05,cases,0.0
2784,COVIDhub-ensemble,2070,2020-09-07,2020-09-14,cases,0.0
2792,COVIDhub-ensemble,2070,2020-09-07,2020-09-21,cases,0.0
2800,COVIDhub-ensemble,2070,2020-09-07,2020-09-28,cases,0.0
2808,COVIDhub-ensemble,2070,2020-09-07,2020-10-05,cases,0.0
2816,COVIDhub-ensemble,2090,2020-09-07,2020-09-14,cases,107.0
2824,COVIDhub-ensemble,2090,2020-09-07,2020-09-21,cases,106.0
2832,COVIDhub-ensemble,2090,2020-09-07,2020-09-28,cases,108.0
