date,state_code,county_name,fips_code,acute_staffed,acute_occupied,icu_staffed,icu_occupied,ventilators,ventilators_occupied,covid_confirmed,covid_suspected,covid_icu,covid_ventilator
2020-04-23,NV,Clark,32003,5740,3847,635,512,803,335,327,176,146,96
2020-04-23,NV,Douglas,32005,19,8,4,1,4,0,0,1,0,0
2020-04-23,NV,Elko,32007,75,2,7,1,6,0,0,0,0,0
2020-04-23,NV,Esmeralda,32009,0,0,0,0,0,0,0,0,0,0
2020-04-23,NV,Eureka,32011,0,0,0,0,0,0,0,0,0,0
2020-04-23,NV,Humboldt,32013,25,14,3,1,7,0,0,1,0,0
2020-04-23,NV,Lander,32015,5,0,0,0,0,0,0,0,0,0
2020-04-23,NV,Lincoln,32017,4,0,0,0,3,0,0,0,0,0
2020-04-23,NV,Lyon,32019,14,0,0,0,0,0,0,0,0,0
2020-04-23,NV,Mineral,32021,11,3,0,0,1,0,0,0,0,0
2020-04-23,NV,Nye,32023,25,10,0,0,6,0,0,4,0,0
2020-04-23,NV,Pershing,32027,0,0,0,0,0,0,0,0,0,0
2020-04-23,NV,Storey,32029,0,0,0,0,0,0,0,0,0,0
2020-04-23,NV,Washoe,32031,1259,762,162,82,198,40,38,16,18,17
2020-04-23,NV,White Pine,32033,25,5,2,0,5,0,0,0,0,0
2020-04-24,NV,Carson City,32510,188,85,24,17,22,5,2,11,4,3
2020-04-24,NV,Churchill,32001,25,12,4,2,4,0,0,1,0,0
2020-04-24,NV,Clark,32003,5741,3784,628,475,803,315,320,171,134,96
2020-04-24,NV,Douglas,32005,19,7,4,2,4,0,0,1,0,0
2020-04-24,NV,Elko,32007,75,4,7,1,6,0,0,0,0,0
2020-04-24,NV,Esmeralda,32009,0,0,0,0,0,0,0,0,0,0
2020-04-24,NV,Eureka,32011,0,0,0,0,0,0,0,0,0,0
2020-04-24,NV,Humboldt,32013,25,11,3,0,7,0,0,0,0,0
2020-04-24,NV,Lander,32015,5,2,0,0,0,0,0,0,0,0
2020-04-24,NV,Lincoln,32017,4,0,0,0,3,0,0,0,0,0
2020-04-24,NV,Lyon,32019,14,0,0,0,0,0,0,0,0,0
2020-04-24,NV,Mineral,32021,11,3,0,0,1,0,0,0,0,0
2020-04-24,NV,Nye,32023,25,9,0,0,6,0,0,4,0,0
2020-04-24,NV,Pershing,32027,13,0,0,0,0,0,0,0,0,0
2020-04-24,NV,Storey,32029,0,0,0,0,0,0,0,0,0,0
2020-04-24,NV,Washoe,32031,1329,874,162,81,198,43,70,17,16,15
2020-04-24,NV,White Pine,32033,25,6,2,0,5,0,0,0,0,0
2020-04-25,NV,Carson City,32510,159,79,24,15,15,5,2,9,5,4
2020-04-25,NV,Churchill,32001,0,0,0,0,0,0,0,0,0,0
2020-04-25,NV,Clark,32003,5406,3547,620,471,761,282,326,185,138,96
2020-04-25,NV,Douglas,32005,19,7,4,1,4,0,0,0,0,0
