,Unnamed: 0,geo_value,date,direction,issue,lag,smoothed_adj_doctor_visits,stderr,sample_size,fips,aggregate_level,state
258,3,az,2020-02-06,0.0,2020-06-09,124,0.075132,,,04,state,AZ
259,4,ca,2020-02-06,0.0,2020-06-09,124,0.153452,,,06,state,CA
260,5,co,2020-02-06,0.0,2020-06-09,124,0.200757,,,08,state,CO
261,6,ct,2020-02-06,0.0,2020-06-09,124,0.184059,,,09,state,CT
262,7,dc,2020-02-06,0.0,2020-06-09,124,0.0,,,11,state,DC
263,8,de,2020-02-06,0.0,2020-06-09,124,0.0,,,10,state,DE
264,9,fl,2020-02-06,0.0,2020-06-09,124,0.144043,,,12,state,FL
265,10,ga,2020-02-06,0.0,2020-06-09,124,0.043375,,,13,state,GA
266,11,hi,2020-02-06,0.0,2020-06-09,124,0.0,,,15,state,HI
267,12,ia,2020-02-06,0.0,2020-06-09,124,0.087359,,,19,state,IA
268,13,id,2020-02-06,0.0,2020-06-09,124,0.0,,,16,state,ID
269,14,il,2020-02-06,0.0,2020-06-09,124,0.140271,,,17,state,IL
270,15,in,2020-02-06,0.0,2020-06-09,124,0.087315,,,18,state,IN
271,16,ks,2020-02-06,0.0,2020-06-09,124,0.024175,,,20,state,KS
272,17,ky,2020-02-06,0.0,2020-06-09,124,0.125223,,,21,state,KY
273,18,la,2020-02-06,0.0,2020-06-09,124,0.259984,,,22,state,LA
274,19,ma,2020-02-06,0.0,2020-06-09,124,0.024381,,,25,state,MA
275,20,md,2020-02-06,0.0,2020-06-09,124,0.29517600000000005,,,24,state,MD
276,21,me,2020-02-06,0.0,2020-06-09,124,0.0,,,23,state,ME
277,22,mi,2020-02-06,0.0,2020-06-09,124,0.267311,,,26,state,MI
278,23,mn,2020-02-06,0.0,2020-06-09,124,0.0,,,27,state,MN
279,24,mo,2020-02-06,0.0,2020-06-09,124,0.197604,,,29,state,MO
280,25,ms,2020-02-06,0.0,2020-06-09,124,0.188102,,,28,state,MS
281,26,mt,2020-02-06,0.0,2020-06-09,124,0.0,,,30,state,MT
282,27,nc,2020-02-06,0.0,2020-06-09,124,0.043887999999999996,,,37,state,NC
283,28,nd,2020-02-06,0.0,2020-06-09,124,0.0,,,38,state,ND
284,29,ne,2020-02-06,0.0,2020-06-09,124,0.06652999999999999,,,31,state,NE
285,30,nh,2020-02-06,0.0,2020-06-09,124,0.103703,,,33,state,NH
286,31,nj,2020-02-06,0.0,2020-06-09,124,0.35643800000000003,,,34,state,NJ
287,32,nm,2020-02-06,0.0,2020-06-09,124,0.0,,,35,state,NM
288,33,nv,2020-02-06,0.0,2020-06-09,124,0.055810000000000005,,,32,state,NV
289,34,ny,2020-02-06,0.0,2020-06-09,124,0.312555,,,36,state,NY
290,35,oh,2020-02-06,0.0,2020-06-09,124,0.124428,,,39,state,OH
291,36,ok,2020-02-06,0.0,2020-06-09,124,0.089959,,,40,state,OK
292,37,or,2020-02-06,0.0,2020-06-09,124,0.0,,,41,state,OR
293,38,pa,2020-02-06,0.0,2020-06-09,124,0.237946,,,42,state,PA
294,39,ri,2020-02-06,0.0,2020-06-09,124,0.0,,,44,state,RI
295,40,sc,2020-02-06,0.0,2020-06-09,124,0.08682899999999999,,,45,state,SC
296,41,sd,2020-02-06,0.0,2020-06-09,124,0.0,,,46,state,SD
297,42,tn,2020-02-06,0.0,2020-06-09,124,0.309246,,,47,state,TN
298,43,tx,2020-02-06,0.0,2020-06-09,124,0.171356,,,48,state,TX
299,44,ut,2020-02-06,0.0,2020-06-09,124,0.042616,,,49,state,UT
300,45,va,2020-02-06,0.0,2020-06-09,124,0.247173,,,51,state,VA
301,46,vt,2020-02-06,0.0,2020-06-09,124,0.0,,,50,state,VT
302,47,wa,2020-02-06,0.0,2020-06-09,124,0.066219,,,53,state,WA
303,48,wi,2020-02-06,0.0,2020-06-09,124,0.100755,,,55,state,WI
